year,bird.id.prefix,bird.id,species,sex,coll.date,jul.date,days.since.oct,easting,northing,site,time,wing,head.bill,culmen.length,culmen.width,tarsus,keel,body.length,body.mass,molt,molt.score,liver,ab.fat,heart,age,protein,lipid
2018,18DX,210,NSHO,F,2/26/19,57,148,582728.2,4224451.3,Pond 12,9:45,247,105.72,59.09,18.82,36.82,82.65,390,525.1,NA,2,14.4564,3.8,7.3,A,46.5,44.8
2018,18DX,211,AMWI,M,3/5/19,64,155,582728.2,4224451.3,Joice D,8:02,262,87.18,36.85,16.81,38.57,94.31,410,763.9,NA,1,24.1003,15.1,9.5,I,46.9,43.1
2018,18DX,212,NOPI,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,8:30,280,107.07,49.32,18.68,44.06,103.96,503,1000.2,NA,1,22.8327,24.5,13.6,A,37.9,58.5
2018,18DX,213,NSHO,M,2/18/19,49,140,582728.2,4224451.3,Joice D,6:50,247,117.51,65.15,19.72,35.16,87.37,400,563.3,NA,1,18.7409,6.1,7,A,45.3,42.2
2018,18DX,214,AMWI,M,2/18/19,49,140,582728.2,4224451.3,Joice D,6:55,274,87.61,37.07,17.89,40.12,95.21,405,870.8,NA,1,21.1274,19.2,9.6,I,40.9,52.3
2018,18DX,215,NSHO,F,2/18/19,49,140,582728.2,4224451.3,Joice D,7:00,238,115.09,63.24,19.68,36.67,89.37,395,578.9,NA,2,26.0247,4.6,8.6,A,52.5,38.5
2018,18DX,216,NSHO,M,2/7/19,38,129,582656.2,4224679.8,Joice D,9:10,245,114.1,65.94,19.88,37.71,87.36,414,542.6,NA,0,15.9611,8.7,6.2,A,43.3,50.4
2018,18DX,217,NSHO,M,2/18/19,49,140,582728.2,4224451.3,Joice D,7:05,242,116.9,65.2,20.15,33.95,92.27,411,555.1,NA,1,18.2565,7.6,6.3,A,44.6,45.8
2018,18DX,218,AMWI,M,2/7/19,38,129,582656.2,4224679.8,Joice D,8:10,262,87.24,35.66,17.36,37.84,104.48,392,748.2,NA,0,19.261,11.3,9.4,A,45.4,42.2
2018,18DX,219,NSHO,F,2/18/19,49,140,582728.2,4224451.3,Joice D,7:05,240,110.74,62.79,18.97,38.63,92.5,396,606.3,NA,3,20.5445,7.7,6.5,A,44.3,47.6
2018,18DX,220,MALL,F,2/18/19,49,140,582728.2,4224451.3,Joice D,7:45,289,105.18,51.1,22.51,45.23,103.81,474,1225.9,NA,3,46.0536,16,14.6,I,40.1,50.1
2018,18DX,221,NSHO,M,2/18/19,49,140,582728.2,4224451.3,Joice D,7:45,247,115.69,65.26,21.37,36.94,90.46,414,568.2,NA,2,17.7764,7,5.8,A,45.9,43.7
2018,18DX,222,AMWI,F,2/18/19,49,140,582728.2,4224451.3,Joice D,8:35,246,85.99,37.14,16.69,36.24,92.12,390,760.9,NA,2,20.3633,23.9,8.6,A,34.9,56.1
2018,18DX,223,NOPI,F,2/18/19,49,140,582728.2,4224451.3,Joice D,8:55,254,103.27,49.09,18.68,41.16,96.95,436,789.5,NA,3,16.0323,17,10.3,I,35.95,55.85
2018,18DX,224,NOPI,M,2/18/19,49,140,582728.2,4224451.3,Joice D,8:55,273,106.81,51.97,18.57,42.12,102.98,496,905.2,NA,1,21.9071,21.5,12.7,A,34.4,53.9
2018,18DX,225,NSHO,M,2/18/19,49,140,582728.2,4224451.3,Joice D,9:15,254,117.9,65.33,19.65,36.97,89.76,412,634.9,NA,2,21.7092,10.8,8.1,A,42.7,46.9
2018,18DX,226,NOPI,F,2/18/19,49,140,582728.2,4224451.3,Joice D,9:30,261,100.7,47.05,17.87,40.05,94.31,456,891.6,NA,3,23.8909,23.7,9.7,A,33.3,56.9
2018,18DX,227,AMWI,F,3/5/19,64,155,582728.2,4224451.3,Joice D,9:02,253,84.09,37.41,16.53,34.72,84.48,381,678,NA,2,18.2618,10,7,A,42.2,44.9
2018,18DX,228,CITE,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,9:13,198,87.58,44.38,17.32,33.89,84.37,355,410.9,NA,1,15.2345,4.8,4.3,A,47.2,39
2018,18DX,229,NSHO,M,3/5/19,64,155,582728.2,4224451.3,Joice D,8:50,255,115.66,63.73,20.76,37.75,93.82,421,637.1,NA,2,17.4093,14.6,7.9,A,35.3,53.7
2018,18DX,230,NSHO,F,3/5/19,64,155,582728.2,4224451.3,Joice D,8:35,235,107.29,59.74,19.31,35.04,83.95,401,585.7,NA,3,15.4995,12.9,7.3,A,36,52.4
2018,18DX,231,NSHO,F,2/18/19,49,140,583059,4225176,Joice C,10:50,241,112.38,62.7,20.02,38.33,87.22,410,614.4,NA,3,14.7258,18.4,6.2,A,32.1,41.8
2018,18DX,232,GADW,M,3/12/19,71,162,591483.5,4220664.5,Pond 12,8:31,279,96.28,40.22,18.38,40.25,100.02,448,807.9,NA,3,17.9561,12.2,9.5,A,44.6,43.8
2018,18DX,233,NSHO,M,3/12/19,71,162,591483.5,4220664.5,Pond 12,7:05,251,117.07,64.83,20.4,39.78,98.13,440,654.7,NA,3,17.0205,9.9,9,A,42.4,45
2018,18DX,234,NOPI,M,3/12/19,71,162,591483.5,4220664.5,Pond 12,7:00,262,106.37,50.71,19.22,41.45,95.76,510,923.8,NA,0,17.7652,20.6,12.2,A,38,49.3
2018,18DX,235,NOPI,M,3/12/19,71,162,591483.5,4220664.5,Pond 12,7:00,272,105.3,50.9,18.03,42.49,105.22,498,904.8,NA,0,12.4671,31,11.3,A,35.7,58.5
2018,18DX,236,NOPI,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,6:24,273,110.32,50.26,19.14,45.87,107.62,526,1031.9,NA,0,17.5776,34.3,11.3,I,51,53.9
2018,18DX,237,NOPI,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,6:24,286,109.57,50.4,18.86,43.31,105.31,520,1038.6,NA,0,15.8468,30.7,13.4,A,49.5,37.4
2018,18DX,238,NOPI,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,6:33,272,105.98,50.66,19.11,43.29,104.93,500,893.5,NA,0,17.1289,15.9,11.8,I,38.4,50.7
2018,18DX,239,AGWT,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,7:00,193,82.5,35.78,13.83,30.03,76.78,310,327.3,NA,1,6.2333,5,4.1,A,43.6,46.8
2018,18DX,240,AGWT,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,6:50,186,79.7,36.02,13.84,30.87,75.36,310,356.4,NA,0,9.3847,3.4,4,A,49.1,41.1
2018,18DX,241,NSHO,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,8:55,247,118.4,66.8,21.01,39.11,92.4,428,569.2,NA,1,14.3222,10.5,9.4,I,43,46.3
2018,18DX,242,NSHO,F,3/5/19,64,155,582728.2,4224451.3,Joice D,8:55,234,111.17,59.57,19.41,35.71,88.53,401,601.3,NA,3,20.1996,6.7,6.8,I,45.9,46.5
2018,18DX,243,NSHO,M,3/5/19,64,155,582728.2,4224451.3,Joice D,8:55,252,118.69,65.95,21.44,37.01,95.43,434,702.9,NA,2,22.1749,16,8.1,A,38.2,52.1
2018,18DX,244,NSHO,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,7:32,254,118.03,64.68,21.5,38.83,93.76,430,655.8,NA,1,21.046,7.4,8.6,A,47.3,39.9
2018,18DX,245,AGWT,F,2/26/19,57,148,582728.2,4224451.3,Pond 12,7:28,180,73.21,34.07,14.22,31.29,75.28,296,300.6,NA,3,8.9047,0.7,4.4,I,60.7,28.1
2018,18DX,246,AGWT,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,7:20,196,79.87,36.58,14.48,31.97,73.83,312,349.5,NA,2,7.6321,5.1,4.7,A,38.9,47.8
2018,18DX,247,AGWT,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,6:57,188,83.22,36.97,14.36,30.38,73.86,310,334.6,NA,1,7.4583,4.9,4.1,I,38.6,50.6
2018,18DX,248,AMWI,M,3/5/19,64,155,582728.2,4224451.3,Joice D,7:57,265,89.6,37.18,17.42,37.73,100.16,410,916.9,NA,1,28.6639,21.4,10.2,A,42.8,48.4
2018,18DX,249,MALL,M,2/26/19,57,148,582728.2,4224451.3,Pond 12,8:20,301,110.72,50.62,23.04,43.74,110.49,526,1249.2,NA,1,28.4199,17.6,19,I,39.3,50
2018,18DX,250,CITE,M,3/12/19,71,162,591483.5,4220664.5,Pond 12,8:15,207,92.58,46.66,17.2,34.21,85.54,374,436.4,NA,2,7.7955,7.3,4.6,A,46.5,44.5
2018,18DX,251,CITE,M,3/12/19,71,162,591483.5,4220664.5,Pond 12,7:35,203,90.24,45.09,16.65,30.93,76.94,324,338,NA,1,8.2199,3.4,5,A,49.5,41.3
